Name,Gender,Race,Age,Hair,Height,Affiliation,Place of Origin,First Appearance,Canonical status,Living status,Difficulty,Image
Menoly Mallia,Female,Arrancar,100-1000,Blonde,159,Espada,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Living,Hard,https://static.wikia.nocookie.net/bleach/images/c/cd/Ep163MenolyProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110200530&path-prefix=en
Cirucci Sanderwicci,Female,Arrancar,100-1000,Purple,158,Espada,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Zombified,Hard,https://static.wikia.nocookie.net/bleach/images/e/ee/Ep153CirucciProfile2.png/revision/latest/scale-to-width-down/1000?cb=20220531153947&path-prefix=en
Dondochakka Birstanne,Male,Arrancar,100-1000,None,204,Merry Men,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/0/04/Ep194DondochakkaProfile.png/revision/latest/scale-to-width-down/1000?cb=20220409205914&path-prefix=en
Pesche Guatiche,Male,Arrancar,100-1000,Blonde,177,Merry Men,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/7/70/Ep163PescheProfile.png/revision/latest?cb=20220621051907&path-prefix=en
Nelliel Tu Odelschwanck,Female,Arrancar,100-1000,Green,176,Merry Men,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/a/a3/Ep398NellielProfile.png/revision/latest?cb=20260410211102&path-prefix=en
Bawabawa,Male,Hollow,100-1000,None,900-1000,Merry Men,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/0/04/Ep146BawabawaProfile.png/revision/latest/scale-to-width-down/1000?cb=20230603031441&path-prefix=en
Ashido Kano,Male,Shinigami,100-1000,Brown,180,Independent,Forest of Menos,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Ambiguous,Hard,https://static.wikia.nocookie.net/bleach/images/6/63/Ep148AshidoProfile.png/revision/latest/scale-to-width-down/1000?cb=20231105212137&path-prefix=en
Findorr Calius,Male,Arrancar,100-1000,Blonde,185,Arrancar,Hueco Mundo,Arrancar: The Fierce Fight Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/e/e3/Ep219FindorrProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110190136&path-prefix=en
Ggio Vega,Male,Arrancar,100-1000,Black,186,Arrancar,Hueco Mundo,Arrancar: The Fierce Fight Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/2/21/Ep221GgioProfile.png/revision/latest/scale-to-width-down/1000?cb=20220513051147&path-prefix=en
Charlotte Chuhlhourne,Male,Arrancar,100-1000,Purple,222,Arrancar,Hueco Mundo,Arrancar: The Fierce Fight Arc,Canon,Zombified,Hard,https://static.wikia.nocookie.net/bleach/images/e/e2/Ep217CharlotteProfile.png/revision/latest/scale-to-width-down/1000?cb=20230920202830&path-prefix=en
Cyan Sung-Sun,Female,Arrancar,100-1000,Black,154,Arrancar,Hueco Mundo,Arrancar: The Fierce Fight Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/1/16/Ep368SungSunProfile.png/revision/latest?cb=20221017202631&path-prefix=en
Emilou Apacci,Female,Arrancar,100-1000,Black,169,Arrancar,Hueco Mundo,Arrancar: The Fierce Fight Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/5/51/Ep221ApacciProfile.png/revision/latest?cb=20231110185158&path-prefix=en
Franceska Mila Rose,Female,Arrancar,100-1000,Brown,175,Arrancar,Hueco Mundo,Arrancar: The Fierce Fight Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/a/a9/Ep368MilaRoseProfile.png/revision/latest?cb=20221017202656&path-prefix=en
Abirama Redder,Male,Arrancar,100-1000,Red,183,Espada,Hueco Mundo,Arrancar: The Fierce Fight Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/2/21/Ep216AbiramaProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110201052&path-prefix=en
Aisslinger Wernarr,Male,Arrancar,100-1000,Blonde,173,Espada,Hueco Mundo,Arrancar: The Fierce Fight Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/5/51/Ep144AisslingerProfile.png/revision/latest/scale-to-width-down/1000?cb=20230528204023&path-prefix=en
Nirgge Parduoc,Male,Arrancar,100-1000,Blonde,212,Espada,Hueco Mundo,Arrancar: The Fierce Fight Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/f/fc/Ep221NirggeProfile.png/revision/latest/scale-to-width-down/1000?cb=20220513054347&path-prefix=en
Lilynette Gingerbuck,Female,Arrancar,100-1000,Blonde,142,Espada,Hueco Mundo,Arrancar: The Fierce Fight Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/9/9c/Ep161LilynetteProfile.png/revision/latest?cb=20220618140636&path-prefix=en
Moe Shishigawara,Male,Fullbringer,001-20,Black,176,Xcution,Naruki City,The Lost Agent of The Shinigami Arc,Canon,Living,Hard,https://static.wikia.nocookie.net/bleach/images/7/75/Ep349ShishigawaraProfile2.png/revision/latest/scale-to-width-down/1000?cb=20230222040739&path-prefix=en
Yukio Hans Vorarlberna,Male,Fullbringer,001-20,Blonde,154,Xcution,Naruki City,The Lost Agent of The Shinigami Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/e/ef/Ep354YukioProfile.png/revision/latest?cb=20231105045336&path-prefix=en
Kugo Ginjo,Male,Fullbringer,21-40,Black,187,Xcution,Naruki City,The Lost Agent of The Shinigami Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/2/2d/Ep344GinjoProfile.png/revision/latest/scale-to-width-down/1000?cb=20231105044507&path-prefix=en
Shukuro Tsukishima,Male,Fullbringer,21-40,Black,198,Xcution,Naruki City,The Lost Agent of The Shinigami Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/2/25/Ep353TsukishimaProfile.png/revision/latest/scale-to-width-down/1000?cb=20231105042024&path-prefix=en
Giriko Kutsuzawa,Male,Fullbringer,41-60,Black,191,Xcution,Naruki City,The Lost Agent of The Shinigami Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/c/c6/Ep343GirikoProfile.png/revision/latest/scale-to-width-down/1000?cb=20190226211759&path-prefix=en
Jackie Tristan,Female,Fullbringer,21-40,Black,163,Xcution,Naruki City,The Lost Agent of The Shinigami Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/7/77/Ep351JackieProfile.png/revision/latest/scale-to-width-down/1000?cb=20221001190618&path-prefix=en
Riruka Dokugamine,Female,Fullbringer,21-40,Pink,156,Xcution,Naruki City,The Lost Agent of The Shinigami Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/5/59/Ep398RirukaProfile.png/revision/latest?cb=20241110032103&path-prefix=en
Kaoru Unagiya,Male,Human,001-20,Black,145,Civilian,Karakura Town,The Lost Agent of The Shinigami Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/7/78/Ep344KaoruProfile.png/revision/latest?cb=20190310185505&path-prefix=en
Ikumi Unagiya,Female,Human,21-40,Black,174,Civilian,Karakura Town,The Lost Agent of The Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/8/81/Ep344IkumiProfile3.png/revision/latest?cb=20231105044127&path-prefix=en
Asguiaro Ebern,Male,Arrancar,100-1000,Brown,181,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/a/a1/Ep367EbernProfile.png/revision/latest?cb=20221010200935&path-prefix=en
Ludaas Friegen,Male,Arrancar,100-1000,Black,184,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/e/ed/Ep367LudersProfile.png/revision/latest?cb=20221019172656&path-prefix=en
Kazui Kurosaki,Male,Hybrid,001-20,Ginger,145,Ryoka,Karakura Town,The 1000 Year Blood War Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/1/10/686Kazui_profile.png/revision/latest?cb=20190523143534&path-prefix=en
Kanae Katagiri,Female,Quincy,41-60,Black,175,Independent,Karakura Town,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/e/e5/Ep377KatagiriProfile.png/revision/latest?cb=20221219215423&path-prefix=en
Huburt Alexander Kleich,Male,Quincy,1000+,Black,Unknown,Lichtreich Schutzstaffel,Lichtreich,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/e/ef/Ep406HuburtProfile.png/revision/latest?cb=20241228182509&path-prefix=en
Jugram Haschwalth,Male,Quincy,1000+,Blonde,189,Schutzstaffel,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/b/b5/Ep396HaschwalthProfile.png/revision/latest?cb=20241030014904&path-prefix=en
Lille Barro,Male,Quincy,1000+,Blonde,182,Schutzstaffel,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/5/58/Ep390LilleProfile.png/revision/latest?cb=20230923190941&path-prefix=en
Pernida Parnkgjas,Male,Quincy,1000000+,Bald,150,Schutzstaffel,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/4/43/Ep402PernidaProfile.png/revision/latest?cb=20241207162044&path-prefix=en
Yhwach,Male,Quincy,1000000+,Black,200,Schutzstaffel,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/8/80/Ep371YhwachProfile.png/revision/latest?cb=20221123091409&path-prefix=en
Askin Nakk Le Vaar,Male,Quincy,100-1000,Black,187,Schutzstaffel,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/d/da/Ep405AskinProfile.png/revision/latest?cb=20241228184756&path-prefix=en
Gerard Valkyrie,Male,Quincy,100-1000,Blonde,222,Schutzstaffel,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/b/bc/Ep390GerardProfile.png/revision/latest?cb=20230923184506&path-prefix=en
Bazz-B,Male,Quincy,1000+,Ginger,179,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/3/30/Ep380BazzBProfile.png/revision/latest?cb=20230708202502&path-prefix=en
As Nodt,Male,Quincy,100-1000,Black,179,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/d/d2/Ep370AsProfile2.png/revision/latest?cb=20221031203204&path-prefix=en
Berenice Gabrielli,Male,Quincy,100-1000,Blonde,165,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/6/61/Ep371BereniceProfile.png/revision/latest?cb=20221107175336&path-prefix=en
Cang Du,Male,Quincy,100-1000,Black,180,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/4/44/Ep382CangProfile2.png/revision/latest?cb=20230722215027&path-prefix=en
Driscol Berci,Male,Quincy,100-1000,Black,200,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/4/46/Ep371DriscollProfile2.png/revision/latest?cb=20221107201253&path-prefix=en
Gremmy Thoumeaux,Male,Quincy,100-1000,Blonde,155,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/e/eb/Ep386GremmyProfile.png/revision/latest?cb=20230820085534&path-prefix=en
Guenael Lee,Male,Quincy,100-1000,Grey,155,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/e/ef/Ep386GuenaelProfile.png/revision/latest?cb=20250529162211&path-prefix=en
James,Male,Quincy,100-1000,Bald,120,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/4/4f/Ep383JamesProfile.png/revision/latest?cb=20230730011301&path-prefix=en
Jerome Guizbatt,Male,Quincy,100-1000,Black,516,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/a/a4/Ep371JeromeProfile.png/revision/latest?cb=20230816232349&path-prefix=en
Loyd Lloyd,Male,Quincy,100-1000,Bald,170,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/0/0a/Ep371LoydProfile.png/revision/latest?cb=20221107181619&path-prefix=en
Mask De Masculine,Male,Quincy,100-1000,Bald,200,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/9/97/Ep371MaskProfile.png/revision/latest?cb=20221107200411&path-prefix=en
Nanana Najahkoop,Male,Quincy,100-1000,Black,180,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/1/14/Ep370NaNaNaProfile.png/revision/latest/scale-to-width-down/1000?cb=20221031202510&path-prefix=en
Nianzol Weizol,Male,Quincy,100-1000,Black,160,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/1/1d/Ep390NianzolProfileB.png/revision/latest?cb=20230923172246&path-prefix=en
Pepe Waccabrada,Male,Quincy,100-1000,Bald,160,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/e/e0/Ep389PePeProfile.png/revision/latest/scale-to-width-down/1000?cb=20230921204112&path-prefix=en
Quilge Opie,Male,Quincy,100-1000,Black,178,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/0/0a/Ep368QuilgeProfile.png/revision/latest?cb=20221017202135&path-prefix=en
Robert Accutrone,Male,Quincy,100-1000,Blonde,175,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/a/ae/Ep370RobertProfile.png/revision/latest?cb=20221031203302&path-prefix=en
Royd Lloyd,Male,Quincy,100-1000,Bald,170,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/0/0e/510Royd_profile.png/revision/latest?cb=20170830214925&path-prefix=en
Shaz Domino,Male,Quincy,100-1000,Blonde,175,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Immortal,Hard,https://static.wikia.nocookie.net/bleach/images/f/f9/512Shaz_profile.png/revision/latest?cb=20170830215707&path-prefix=en
Giselle Gewelle,Female,Quincy,100-1000,Black,160,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/c/cf/Ep387GiselleProfile.png/revision/latest/scale-to-width-down/1000?cb=20230904070014&path-prefix=en
Liltotto Lamperd,Female,Quincy,100-1000,Blonde,145,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/b/b3/Ep387LiltottoProfileB.png/revision/latest?cb=20230924011604&path-prefix=en
Bambietta Basterbine,Female,Quincy,100-1000,Black,156,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Zombified,Medium,https://static.wikia.nocookie.net/bleach/images/b/b6/Ep383BambiettaProfile.png/revision/latest?cb=20230729195015&path-prefix=en
Candice Catnipp,Female,Quincy,100-1000,Blonde,165,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Zombified,Hard,https://static.wikia.nocookie.net/bleach/images/6/6b/Ep387CandiceProfileC.png/revision/latest?cb=20230917041106&path-prefix=en
Meninas McAllon,Female,Quincy,100-1000,Purple,191,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Zombified,Hard,https://static.wikia.nocookie.net/bleach/images/6/67/Ep389MeninasProfile.png/revision/latest?cb=20230916185716&path-prefix=en
BG9,None,Quincy,100-1000,None,200,Sternritter,Silbern,The 1000 Year Blood War Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/1/1d/Ep370BG9Profile.png/revision/latest/scale-to-width-down/1000?cb=20231025053619&path-prefix=en
Yushiro Shihoin,Male,Shinigami,100-1000,Purple,156,Gotei 13,Seireitei,The 1000 Year Blood War Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/7/72/Ep395YushiroProfile.png/revision/latest/scale-to-width-down/1000?cb=20241019180302&path-prefix=en
Ryunosuke Yuki,Male,Shinigami,100-1000,Brown,178,Gotei 13,Karakura Town,The 1000 Year Blood War Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/0/0c/Ep367YukiProfile.png/revision/latest/scale-to-width-down/1000?cb=20221010195746&path-prefix=en
Shino Madarame,Female,Shinigami,100-1000,Black,164,Gotei 13,Karakura Town,The 1000 Year Blood War Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/e/e7/Ep367ShinoProfile.png/revision/latest?cb=20221010195634&path-prefix=en
Shunzan Kyoraku,Male,Shinigami,100-1000,Brown,Unknown,Noble,Seireitei,The 1000 Year Blood War Arc,Canon,Deceased,Impossible,https://static.wikia.nocookie.net/bleach/images/c/cd/Ep403ShunzanProfile.png/revision/latest?cb=20260420012341&path-prefix=en
Isuzu Ise,Female,Shinigami,100-1000,Black,Unknown,Noble,Seireitei,The 1000 Year Blood War Arc,Canon,Deceased,Impossible,https://static.wikia.nocookie.net/bleach/images/f/fe/Ep403IsuzuProfile.png/revision/latest?cb=20241216040641&path-prefix=en
Oetsu Nimaiya,Male,Shinigami,1000+,Black,172,Royal Guard,Soul King Palace,The 1000 Year Blood War Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/3/3f/Ep376NimaiyaProfile.png/revision/latest?cb=20221218062450&path-prefix=en
Tenjiro Kirinji,Male,Shinigami,1000+,Black,193,Royal Guard,Soul King Palace,The 1000 Year Blood War Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/9/96/Ep374KirinjiProfile2.png/revision/latest?cb=20221128211340&path-prefix=en
Ichibe'e Hyosube,Male,Shinigami,1000000+,Black,181,Royal Guard,Soul King Palace,The 1000 Year Blood War Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/7/73/Ep374Ichibe%27eProfile.png/revision/latest?cb=20221128211227&path-prefix=en
Kirio Hikifune,Female,Shinigami,1000+,Pink,174,Royal Guard,Soul King Palace,The 1000 Year Blood War Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/7/78/Ep375HikifuneProfile2.png/revision/latest?cb=20221205192753&path-prefix=en
Senjumaru Shutara,Female,Shinigami,1000+,Black,158,Royal Guard,Seireitei,The 1000 Year Blood War Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/3/3f/Ep374SenjumaruProfile.png/revision/latest?cb=20221128211115&path-prefix=en
Adyneus Soul King(Reio),Male,Transcendent,1000000+,Black,180,Royal Guard,Soul King Palace,The 1000 Year Blood War Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/3/34/615Soul_King_profile.png/revision/latest?cb=20190502002125&path-prefix=en
Mimihagi,Male,Transcendent,1000000+,Bald,80,Royal Guard,Seireitei,The 1000 Year Blood War Arc,Canon,Ambiguous,Easy,https://static.wikia.nocookie.net/bleach/images/e/ee/Ep395MimihagiProfile.png/revision/latest/scale-to-width-down/1000?cb=20241019180330&path-prefix=en
Wolfman Clan Elder,Male,Wolf Man,1000+,White,600-800,Wolf Man Clan,Rukongai,The 1000 Year Blood War Arc,Canon,Living,Hard,https://static.wikia.nocookie.net/bleach/images/f/fe/Ep379WolfmanElderProfile.png/revision/latest?cb=20221228091842&path-prefix=en
Hasuka Hashihara,Female,Zanpakuto,1000+,Blonde,Unknown,Royal Guard,Soul King Palace,The 1000 Year Blood War Arc,Canon,Living,Impossible,https://static.wikia.nocookie.net/bleach/images/e/eb/540Hasuka_profile.png/revision/latest?cb=20170901031649&path-prefix=en
Mera Hiuchigashima,Female,Zanpakuto,1000+,Red,Unknown,Royal Guard,Soul King Palace,The 1000 Year Blood War Arc,Canon,Living,Impossible,https://static.wikia.nocookie.net/bleach/images/b/b3/Ep376MeraProfile2.png/revision/latest?cb=20221218062609&path-prefix=en
Nonomi Nomino,Female,Zanpakuto,1000+,Pink,Unknown,Royal Guard,Soul King Palace,The 1000 Year Blood War Arc,Canon,Living,Impossible,https://static.wikia.nocookie.net/bleach/images/f/f8/540Nonomi_profile.png/revision/latest?cb=20170901031535&path-prefix=en
Tokie Tonokawa,Female,Zanpakuto,1000+,Black,Unknown,Royal Guard,Soul King Palace,The 1000 Year Blood War Arc,Canon,Living,Impossible,https://static.wikia.nocookie.net/bleach/images/5/5d/540Tokie_profile.png/revision/latest?cb=20170901031705&path-prefix=en
Tsumiko Tsuchimiya,Female,Zanpakuto,1000+,Black,Unknown,Royal Guard,Soul King Palace,The 1000 Year Blood War Arc,Canon,Living,Impossible,https://static.wikia.nocookie.net/bleach/images/d/d9/540Tsumiko_profile.png/revision/latest?cb=20170901031627&path-prefix=en
